1위: ㄷㄷ(2745회)
2위: 근데(1279회)
3위: 다(1161회)
4위: 그(1057회)
5위: 내(905회)
6위: 더(753회)
7위: 난(722회)
8위: 진짜(675회)
9위: 수(662회)
10위: 후...(657회)
11위: ㅇㅇ(619회)
12위: 왜(607회)
13위: 내가(587회)
14위: 존나(568회)
15위: 친구(567회)
16위: 그럼(561회)
17위: 그냥(540회)
18위: 이제(534회)
19위: 나(503회)
20위: 아님(497회)
21위: 이(488회)
22위: 좀(465회)
22위: 오늘(465회)
24위: ㅠㅠ(462회)
24위: 성태(462회)
26위: ㅋㅋㅋㅋㅋㅋㅋㅋ(461회)
27위: 또(457회)
28위: ㅋㅋㅋㅋㅋㅋㅋ(455회)
29위: 나도(452회)
30위: 지금(439회)
31위: ㅋㅋㅋㅋ(437회)
32위: (씨익)(429회)
33위: 한(428회)
34위: (수줍)(425회)
34위: 우리(425회)
36위: 그래서(420회)
37위: ㄷㄷㄷ(415회)
38위: 기만(412회)
39위: 잘(408회)
40위: (boohoo)(406회)
41위: 너무(399회)
42위: ㄹㅇ(394회)
43위: ㅋㅋㅋㅋㅋㅋ(369회)
44위: Search(365회)
45위: 그거(342회)
46위: 나는(338회)
47위: 네이버(336회)
48위: 아(329회)
49위: 그리고(327회)
50위: 안(322회)
51위: ㅋㅋㅋㅋㅋ(319회)
52위: 그렇게(318회)
53위: ㄷㄷㄷㄷ(312회)
54위: 없음(311회)
55위: 무슨(307회)
55위: (showoff)(307회)
57위: 이미(304회)
57위: 그게(304회)
57위: 것(304회)
60위: 후....(302회)
61위: 출처(299회)
62위: 중국(291회)
63위: 그건(285회)
64위: (흑흑)(279회)
65위: 아니냐(277회)
65위: 뉴스(277회)
67위: 역시(271회)
68위: (ashamed)(269회)
68위: 이거(269회)
70위: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ(268회)
71위: (ohmy)(267회)
72위: ㅋㅋㅋ(265회)
73위: 걍(262회)
74위: 하고(261회)
75위: 그래도(260회)
76위: 일본(258회)
77위: 함(256회)
77위: (grin)(256회)
79위: 사람(255회)
80위: (crackup)(251회)
81위: 저(249회)
82위: 맞다(247회)
83위: 사실(245회)
84위: 같이(244회)
85위: (발그레)(242회)
86위: 뭐(241회)
86위: 없다(241회)
88위: 할(240회)
89위: 그런(232회)
90위: 있는(226회)
91위: 하는(225회)
91위: 아니라(225회)
93위: Message(220회)
93위: Deleted(220회)
95위: 돈(219회)
95위: ㄴㄴ(219회)
97위: 있음(214회)
98위: 상엽(213회)
99위: 같은(208회)
100위: 많이(207회)
101위: 니(206회)
102위: 이건(205회)
103위: 문재인(204회)
103위: 하면(204회)
105위: 됨(203회)
106위: 아직(200회)
107위: 이게(198회)
108위: 보면(197회)
109위: 후(196회)
110위: (뿌듯)(193회)
111위: 보고(190회)
112위: 있다(187회)
113위: 아니(186회)
114위: 다시(184회)
114위: 하나(184회)
114위: 것이(184회)
117위: 없는(183회)
118위: 다른(179회)
119위: 아니고(177회)
119위: 바로(177회)
119위: 정말(177회)
122위: 때(176회)
123위: 엽(175회)
123위: 아니다(175회)
123위: 누가(175회)
126위: 못(173회)
127위: 남자(171회)
128위: 어떻게(170회)
129위: 한국(168회)
130위: 이렇게(167회)
131위: 결국(161회)
131위: 먹고(161회)
133위: 가서(160회)
134위: 사람이(159회)
134위: (omg)(159회)
136위: 원래(158회)
136위: 일단(158회)
138위: 여자(157회)
138위: 센세(157회)
140위: 말(156회)
141위: 얼마나(155회)
142위: 다들(154회)
143위: ???(153회)
144위: 것도(150회)
144위: 전(150회)
146위: 거의(147회)
147위: (힘듦)(145회)
148위: 안됨(143회)
149위: (신나)(신나)(신나)(142회)
150위: 그걸(141회)
150위: 자전거(141회)
150위: 집(141회)
150위: 이런(141회)
154위: 여기(138회)
155위: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ(137회)
155위: 솔직히(137회)
157위: 좋은(135회)
158위: 나중에(134회)
159위: 특(131회)
159위: (절규)(131회)
159위: 잇음(131회)
159위: 딱(131회)
163위: 꼭(130회)
163위: 사실상(130회)
165위: 요즘(129회)
165위: 거기(129회)
167위: 그니까(126회)
167위: (헉)(126회)
169위: 계속(125회)
170위: 그러면(123회)
171위: 한남대(118회)
172위: 기만이(117회)
172위: 간다(117회)
172위: 심지어(117회)
175위: 곧(116회)
175위: 응(116회)
177위: 언제(115회)
178위: ㄷㄷㄷㄷㄷ(114회)
178위: 박근혜(114회)
178위: 아니면(114회)
178위: 어제(114회)
178위: 하지(114회)
183위: 내일(113회)
183위: 거(113회)
183위: 때문에(113회)
186위: 너(112회)
186위: 요새(112회)
186위: 저거(112회)
189위: 모두(111회)
190위: 자기(110회)
190위: 미국(110회)
190위: 이젠(110회)
193위: 알고(109회)
193위: 제발(109회)
193위: 보소(109회)
193위: 된다(109회)
197위: 그것도(108회)
197위: 말이(108회)
199위: 담에(107회)
200위: 해서(106회)
200위: 우리가(106회)
202위: 구친내(105회)
202위: 일본이(105회)
202위: 충대(105회)
205위: 대체(104회)
205위: 너가(104회)
205위: 뭔(104회)
208위: 빨리(103회)
208위: 앞으로(103회)
208위: 팩트(103회)
208위: 하지만(103회)
208위: 북한(103회)
208위: 없어서(103회)
214위: (절규)(절규)(절규)(102회)
215위: 완전(101회)
216위: 조국(100회)
216위: 있는데(100회)
218위: 물론(99회)
218위: 상엽이(99회)
220위: 봄(98회)
220위: 어디(98회)
220위: 오늘은(98회)
220위: 한다(98회)
224위: 가면(97회)
225위: 같다(96회)
226위: 너도(95회)
226위: 위해(95회)
228위: 뭘(94회)
228위: 안함(94회)
228위: 혹시(94회)
231위: 타고(93회)
231위: 뭐냐(93회)
231위: 크(93회)
231위: 제일(93회)
235위: 와(91회)
235위: 학교(91회)
235위: 잇다(91회)
235위: 나라(91회)
235위: 어떤(91회)
235위: 말고(91회)
235위: (신나)(91회)
235위: 아마(91회)
235위: (thumbsup)(91회)
244위: 하는데(90회)
244위: 없는데(90회)
244위: 와라(90회)
247위: 먼저(89회)
247위: 넘(89회)
247위: 뭐가(89회)
247위: 미세먼지(89회)
247위: 봐라(89회)
247위: (흑흑)(흑흑)(흑흑)(89회)
247위: 모름(89회)
254위: 한번(88회)
254위: 노무현(88회)
254위: 이번(88회)
254위: 아직도(88회)
254위: 제대로(88회)
259위: 맞아(87회)
259위: 그때(87회)
259위: 중(87회)
262위: 절대(86회)
262위: ?(86회)
262위: 전에(86회)
265위: 대통령(85회)
265위: (제발)(85회)
265위: 사진(85회)
268위: 큰(84회)
268위: 한남(84회)
268위: 일(84회)
268위: 아닌(84회)
272위: 뭔가(83회)
272위: 좋다(83회)
272위: 마라(83회)
272위: 없고(83회)
272위: 네(83회)
277위: 혼자(82회)
277위: (굿)(82회)
277위: 있고(82회)
277위: ㅎㅎ(82회)
277위: 시간(82회)
277위: 것은(82회)
283위: 모든(81회)
283위: 집에(81회)
283위: 생각(81회)
283위: 1(81회)
283위: 못함(81회)
283위: 사람은(81회)
283위: 것을(81회)
290위: ㅅㅂ(80회)
290위: 않냐(80회)
290위: 있지(80회)
290위: 감(80회)
294위: 가능(79회)
294위: 대전(79회)
294위: 그런데(79회)
294위: 문제(79회)
294위: 하(79회)
294위: 나옴(79회)
300위: 경원(78회)
300위: 않음(78회)
300위: 지(78회)
300위: 아닌데(78회)
300위: 마치(78회)
300위: 엄청(78회)
300위: 니가(78회)
307위: 여자가(77회)
307위: 되면(77회)
307위: 희민(77회)
307위: 2(77회)
307위: 이상(77회)
307위: 싶다(77회)
307위: 밖에(77회)
314위: 맞음(76회)
314위: 가고(76회)
314위: 저녁(76회)
314위: 가자(76회)
318위: 전혀(75회)
318위: 중국이(75회)
318위: 친구는(75회)
318위: (wornout)(75회)
318위: 문제가(75회)
323위: 오늘도(74회)
323위: 해도(74회)
323위: ㅋㅋ(74회)
323위: 같은데(74회)
327위: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ(73회)
327위: 데(73회)
327위: 일본은(73회)
327위: 그렇지(73회)
327위: 잇는데(73회)
327위: 옴(73회)
327위: 아무도(73회)
327위: 항상(73회)
327위: 어차피(73회)
336위: 정규직(72회)
336위: 중국은(72회)
336위: 자체가(72회)
336위: 받고(72회)
336위: 히오스(72회)
336위: 그런거(72회)
336위: 사람들(72회)
336위: 저번에(72회)
344위: 저렇게(71회)
344위: 가장(71회)
344위: 우리는(71회)
344위: 듯(71회)
348위: 크~(70회)
348위: 없으면(70회)
348위: 않는(70회)
348위: 후..(70회)
348위: 되지(70회)
348위: 교수(70회)
348위: 삼손이시여(70회)
355위: 있으면(69회)
355위: ㅎㅎㅎㅎ(69회)
355위: 같아(69회)
358위: 생각이(68회)
358위: 두(68회)
358위: 건(68회)
358위: 이번에(68회)
358위: 세월호(68회)
363위: 서울(67회)
363위: 자기가(67회)
363위: 갑자기(67회)
363위: 대한(67회)
367위: 될(66회)
367위: 이유가(66회)
367위: 나라가(66회)
370위: 저는(65회)
370위: 정도(65회)
370위: 많음(65회)
370위: 특징(65회)
370위: 되는(65회)
370위: 오(65회)
370위: 페미(65회)
370위: 무조건(65회)
378위: 새끼(64회)
379위: 아는(63회)
379위: 앞에(63회)
379위: 맞습니다(63회)
379위: 우린(63회)
379위: 아무리(63회)
379위: 수준(63회)
385위: 삼손님(62회)
385위: 들고(62회)
385위: 좆데(62회)
385위: 가는(62회)
385위: 뭐임(62회)
385위: 수도(62회)
385위: 많은(62회)
385위: 개(62회)
385위: 게임(62회)
394위: 전부(61회)
394위: 공부(61회)
394위: 줄(61회)
394위: 공무원(61회)
394위: 아예(61회)
394위: 별로(61회)
394위: 좋음(61회)
394위: 아이폰(61회)
402위: 미국이(60회)
402위: 당신은(60회)
402위: 날(60회)
402위: 가라(60회)
402위: 참(60회)
402위: 한국은(60회)
402위: 지금은(60회)
402위: 소리(60회)
402위: 서로(60회)
411위: 사람도(59회)
411위: 말을(59회)
411위: 사람들이(59회)
411위: 따라(59회)
411위: 그래(59회)
411위: 집에서(59회)
411위: ㄷㄷㄷㄷㄷㄷ(59회)
418위: 굳이(58회)
418위: 번(58회)
418위: 합니다(58회)
418위: ㅂㄷㅂㄷ(58회)
418위: 위한(58회)
418위: 삼성(58회)
418위: 남자가(58회)
418위: ??(58회)
418위: (신나)(신나)(신나)(신나)(58회)
427위: 두엽(57회)
427위: 한국이(57회)
427위: 밥(57회)
427위: 시간이(57회)
427위: 없이(57회)
427위: 와서(57회)
427위: 정치(57회)
427위: 없지(57회)
435위: 갈(56회)
435위: (blushing)(56회)
435위: 일이(56회)
435위: 톡방(56회)
435위: 안하고(56회)
435위: 어디서(56회)
435위: 머리(56회)
435위: 모르는(56회)
435위: 나랑(56회)
435위: 두꺼비(56회)
445위: 하토(55회)
445위: 있다고(55회)
445위: 솔까(55회)
445위: 김성태(55회)
445위: 없어(55회)
445위: 있어서(55회)
445위: 시험(55회)
445위: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ(55회)
445위: 저런(55회)
445위: 드디어(55회)
445위: 그만(55회)
445위: 좋아하는(55회)
457위: 직접(54회)
457위: 말은(54회)
457위: 조선(54회)
457위: 우리나라(54회)
457위: 오히려(54회)
457위: 잇으면(54회)
457위: 해라(54회)
457위: 사는(54회)
457위: 걸(54회)
457위: 기사(54회)
457위: 가(54회)
